,Count,Time,minTime
bryancenter-griflf-ap3802p-rc-1,0,2020-02-19 00:00,0
bryancenter-griflr-ap3802i-rc-1,0,2020-02-19 00:00,0
bryancenter-128-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-128-ap3702e-rw-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-1,0,2020-02-19 00:00,0
bryancenter-311-ap3502i-rc-2,0,2020-02-19 00:00,0
bryancenter-beyu-ap3602i-rc-1,0,2020-02-19 00:00,0
bryancenter-002ha-ap3602i-rc-1,0,2020-02-19 00:00,0
bryancenter-100-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-7,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-6,0,2020-02-19 00:00,0
bryancenter-248-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-046-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-208-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-245-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-300-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-reynlds-ap3502e-rc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-10,0,2020-02-19 00:00,0
bryancenter-024-ap3702i-hc-1,0,2020-02-19 00:00,0
bryancenter-310-ap3602i-rc-2,0,2020-02-19 00:00,0
bryancenter-loop-ap3602i-rc-1,0,2020-02-19 00:00,0
bryancenter-311-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-3,0,2020-02-19 00:00,0
bryancenter-tkoff-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-0029-ap3502i-hc-1,0,2020-02-19 00:00,0
bryanctr-mcdonalds-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-310-ap3602i-rc-1,0,2020-02-19 00:00,0
bryancenter-0037-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-2,0,2020-02-19 00:00,0
bryancenter-loop-ap3602i-rc-2,0,2020-02-19 00:00,0
bryancenter-204-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-222-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-119-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-210-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-117-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-110-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-131-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-griflc-ap3802p-rw-1,0,2020-02-19 00:00,0
bryancenter-002j-ap3602i-rc-1,0,2020-02-19 00:00,0
bryancenter-postoff-ap3602e-rc-1,0,2020-02-19 00:00,0
bryancenter-grifrf-ap3802p-rw-1,0,2020-02-19 00:00,0
bryancenter-035p-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-loop-ap3602i-rc-3,0,2020-02-19 00:00,0
bryancenter-ctrlbth-ap3502e-rw-1,0,2020-02-19 00:00,0
bryancenter-022-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-042-ap3702i-rc-1,0,2020-02-19 00:00,0
bryancenter-251-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-0058-ap3502e-rw-1,0,2020-02-19 00:00,0
bryancenter-0012mr-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-107-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-202-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-014t-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-043-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-216-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-0066-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-4,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-5,0,2020-02-19 00:00,0
bryancenter-113-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-305-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-002d-ap3502e-rw-1,0,2020-02-19 00:00,0
bryancenter-306-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-339-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-340-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-aubon-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-219-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-306-ap3502i-rc-2,0,2020-02-19 00:00,0
bryancenter-019-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-grifstg-ap3502e-rw-1,0,2020-02-19 00:00,0
bryancenter-246-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-003tc-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-303-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-roof-ap1562d-rw-8,0,2020-02-19 00:00,0
bryancenter-127-ap3502e-hw-1,0,2020-02-19 00:00,0
bryancenter-202-ap3502i-rc-2,0,2020-02-19 00:00,0
bryancenter-310-ap3602i-rc-3,0,2020-02-19 00:00,0
bryancenter-305-ap3502i-rc-3,0,2020-02-19 00:00,0
bryanctr-pg4-ap3502e-ow-1,0,2020-02-19 00:00,0
bryancenter-bsmtlob-ap6502i-rc-1,0,2020-02-19 00:00,0
bryancenter-techstr-ap3702i-rd-1,0,2020-02-19 00:00,0
bryancenter-243-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-001b-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-0000-ap3602i-??-1,0,2020-02-19 00:00,0
bryancenter-0045-ap3702i-hc-1,0,2020-02-19 00:00,0
bryancenter-0037-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-104t-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-grifrr-ap3802i-rc-1,0,2020-02-19 00:00,0
bryancenter-241-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-0059-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-304-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-0020mr-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-200-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-311-ap3502i-rc-3,0,2020-02-19 00:00,0
bryancenter-grifrc-ap3802p-rw-1,0,2020-02-19 00:00,0
bryancenter-0024mr-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-panda-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-somewhr-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-305-ap3502i-rc-4,0,2020-02-19 00:00,0
bryancenter-305-ap3502i-rc-2,0,2020-02-19 00:00,0
bryancenter-0050t-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-0017tc-ap3602e-rc-1,0,2020-02-19 00:00,0
bryancenter-0038b-ap3502i-hc-1,0,2020-02-19 00:00,0
bryancenter-202-ap3502i-rc-3,0,2020-02-19 00:00,0
bryancenter-333-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-202-ap3502i-rc-1,0,2020-02-19 00:00,0
bryancenter-techstr-ap3502i-rd-1,0,2020-02-19 00:00,0
bryancenter-roof-11,0,2020-02-19 00:00,0
7791-bryancenter-roof-11,0,2020-02-19 00:00,0
bryancenter-208-ap3502i-hc-1,5,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-10,4,2020-02-19 00:05,5
bryancenter-loop-ap3602i-rc-2,4,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-8,4,2020-02-19 00:05,5
7791-bryancenter-roof-11,3,2020-02-19 00:05,5
bryanctr-mcdonalds-ap3502i-rc-1,3,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-4,3,2020-02-19 00:05,5
bryancenter-0037-ap3502i-hc-1,2,2020-02-19 00:05,5
bryancenter-tkoff-ap3502i-hc-1,2,2020-02-19 00:05,5
bryancenter-305-ap3502i-rc-4,1,2020-02-19 00:05,5
bryancenter-251-ap3502i-hc-1,1,2020-02-19 00:05,5
bryancenter-310-ap3602i-rc-3,1,2020-02-19 00:05,5
bryancenter-202-ap3502i-hc-1,1,2020-02-19 00:05,5
bryancenter-somewhr-ap3502i-rc-1,1,2020-02-19 00:05,5
bryancenter-loop-ap3602i-rc-1,1,2020-02-19 00:05,5
bryancenter-002j-ap3602i-rc-1,1,2020-02-19 00:05,5
bryancenter-beyu-ap3602i-rc-1,1,2020-02-19 00:05,5
bryancenter-245-ap3502i-hc-1,1,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-6,1,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-5,1,2020-02-19 00:05,5
bryancenter-002ha-ap3602i-rc-1,1,2020-02-19 00:05,5
bryancenter-300-ap3502i-hc-1,1,2020-02-19 00:05,5
bryancenter-305-ap3502i-rc-3,0,2020-02-19 00:05,5
bryancenter-0000-ap3602i-??-1,0,2020-02-19 00:05,5
bryancenter-001b-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-243-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-techstr-ap3702i-rd-1,0,2020-02-19 00:05,5
bryancenter-bsmtlob-ap6502i-rc-1,0,2020-02-19 00:05,5
bryanctr-pg4-ap3502e-ow-1,0,2020-02-19 00:05,5
bryancenter-306-ap3502i-rc-2,0,2020-02-19 00:05,5
bryancenter-303-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-019-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-grifstg-ap3502e-rw-1,0,2020-02-19 00:05,5
bryancenter-202-ap3502i-rc-2,0,2020-02-19 00:05,5
bryancenter-246-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-127-ap3502e-hw-1,0,2020-02-19 00:05,5
bryancenter-003tc-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-0045-ap3702i-hc-1,0,2020-02-19 00:05,5
bryancenter-griflf-ap3802p-rc-1,0,2020-02-19 00:05,5
bryancenter-0020mr-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-0037-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-104t-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-roof-11,0,2020-02-19 00:05,5
bryancenter-techstr-ap3502i-rd-1,0,2020-02-19 00:05,5
bryancenter-202-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-333-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-202-ap3502i-rc-3,0,2020-02-19 00:05,5
bryancenter-0038b-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-0017tc-ap3602e-rc-1,0,2020-02-19 00:05,5
bryancenter-0050t-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-305-ap3502i-rc-2,0,2020-02-19 00:05,5
bryancenter-panda-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-0024mr-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-grifrc-ap3802p-rw-1,0,2020-02-19 00:05,5
bryancenter-311-ap3502i-rc-3,0,2020-02-19 00:05,5
bryancenter-200-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-aubon-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-304-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-0059-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-241-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-grifrr-ap3802i-rc-1,0,2020-02-19 00:05,5
bryancenter-219-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-0066-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-340-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-117-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-119-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-222-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-204-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-2,0,2020-02-19 00:05,5
bryancenter-310-ap3602i-rc-1,0,2020-02-19 00:05,5
bryancenter-0029-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-3,0,2020-02-19 00:05,5
bryancenter-311-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-310-ap3602i-rc-2,0,2020-02-19 00:05,5
bryancenter-024-ap3702i-hc-1,0,2020-02-19 00:05,5
bryancenter-reynlds-ap3502e-rc-1,0,2020-02-19 00:05,5
bryancenter-046-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-248-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-7,0,2020-02-19 00:05,5
bryancenter-100-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-311-ap3502i-rc-2,0,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-1,0,2020-02-19 00:05,5
bryancenter-128-ap3702e-rw-1,0,2020-02-19 00:05,5
bryancenter-128-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-210-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-110-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-339-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-131-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-306-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-002d-ap3502e-rw-1,0,2020-02-19 00:05,5
bryancenter-305-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-113-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-griflr-ap3802i-rc-1,0,2020-02-19 00:05,5
bryancenter-216-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-043-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-014t-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-107-ap3502i-rc-1,0,2020-02-19 00:05,5
bryancenter-0012mr-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-0058-ap3502e-rw-1,0,2020-02-19 00:05,5
bryancenter-042-ap3702i-rc-1,0,2020-02-19 00:05,5
bryancenter-022-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-ctrlbth-ap3502e-rw-1,0,2020-02-19 00:05,5
bryancenter-loop-ap3602i-rc-3,0,2020-02-19 00:05,5
bryancenter-035p-ap3502i-hc-1,0,2020-02-19 00:05,5
bryancenter-grifrf-ap3802p-rw-1,0,2020-02-19 00:05,5
bryancenter-postoff-ap3602e-rc-1,0,2020-02-19 00:05,5
bryancenter-griflc-ap3802p-rw-1,0,2020-02-19 00:05,5
bryancenter-002g-ap3602i-rc-1,0,2020-02-19 00:05,5
bryancenter-roof-ap1562d-rw-8,10,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-10,7,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-3,5,2020-02-19 00:10,10
7791-bryancenter-roof-11,4,2020-02-19 00:10,10
bryancenter-002j-ap3602i-rc-1,4,2020-02-19 00:10,10
bryancenter-208-ap3502i-hc-1,4,2020-02-19 00:10,10
bryanctr-mcdonalds-ap3502i-rc-1,4,2020-02-19 00:10,10
bryancenter-loop-ap3602i-rc-2,3,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-5,3,2020-02-19 00:10,10
bryancenter-200-ap3502i-hc-1,2,2020-02-19 00:10,10
bryancenter-0037-ap3502i-hc-1,2,2020-02-19 00:10,10
bryancenter-tkoff-ap3502i-hc-1,2,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-4,2,2020-02-19 00:10,10
bryancenter-304-ap3502i-rc-1,1,2020-02-19 00:10,10
bryancenter-014t-ap3502i-hc-1,1,2020-02-19 00:10,10
bryancenter-305-ap3502i-rc-4,1,2020-02-19 00:10,10
bryancenter-loop-ap3602i-rc-1,1,2020-02-19 00:10,10
bryancenter-somewhr-ap3502i-rc-1,1,2020-02-19 00:10,10
bryancenter-131-ap3502i-rc-1,1,2020-02-19 00:10,10
bryancenter-119-ap3502i-rc-1,1,2020-02-19 00:10,10
bryancenter-300-ap3502i-hc-1,1,2020-02-19 00:10,10
bryancenter-245-ap3502i-hc-1,1,2020-02-19 00:10,10
bryancenter-0038b-ap3502i-hc-1,1,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-7,1,2020-02-19 00:10,10
bryancenter-beyu-ap3602i-rc-1,1,2020-02-19 00:10,10
bryancenter-104t-ap3502i-hc-1,1,2020-02-19 00:10,10
bryancenter-aubon-ap3502i-rc-1,1,2020-02-19 00:10,10
bryancenter-305-ap3502i-rc-3,0,2020-02-19 00:10,10
bryancenter-310-ap3602i-rc-3,0,2020-02-19 00:10,10
bryanctr-pg4-ap3502e-ow-1,0,2020-02-19 00:10,10
bryancenter-bsmtlob-ap6502i-rc-1,0,2020-02-19 00:10,10
bryancenter-techstr-ap3702i-rd-1,0,2020-02-19 00:10,10
bryancenter-griflf-ap3802p-rc-1,0,2020-02-19 00:10,10
bryancenter-202-ap3502i-rc-2,0,2020-02-19 00:10,10
bryancenter-127-ap3502e-hw-1,0,2020-02-19 00:10,10
bryancenter-001b-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-303-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-003tc-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-246-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-grifstg-ap3502e-rw-1,0,2020-02-19 00:10,10
bryancenter-019-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-306-ap3502i-rc-2,0,2020-02-19 00:10,10
bryancenter-243-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-0020mr-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-0000-ap3602i-??-1,0,2020-02-19 00:10,10
bryancenter-305-ap3502i-rc-2,0,2020-02-19 00:10,10
bryancenter-roof-11,0,2020-02-19 00:10,10
bryancenter-techstr-ap3502i-rd-1,0,2020-02-19 00:10,10
bryancenter-202-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-333-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-202-ap3502i-rc-3,0,2020-02-19 00:10,10
bryancenter-0017tc-ap3602e-rc-1,0,2020-02-19 00:10,10
bryancenter-0050t-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-panda-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-0045-ap3702i-hc-1,0,2020-02-19 00:10,10
bryancenter-0024mr-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-grifrc-ap3802p-rw-1,0,2020-02-19 00:10,10
bryancenter-311-ap3502i-rc-3,0,2020-02-19 00:10,10
bryancenter-0059-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-241-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-grifrr-ap3802i-rc-1,0,2020-02-19 00:10,10
bryancenter-0037-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-219-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-0066-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-340-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-339-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-210-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-222-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-204-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-2,0,2020-02-19 00:10,10
bryancenter-310-ap3602i-rc-1,0,2020-02-19 00:10,10
bryancenter-0029-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-311-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-310-ap3602i-rc-2,0,2020-02-19 00:10,10
bryancenter-024-ap3702i-hc-1,0,2020-02-19 00:10,10
bryancenter-reynlds-ap3502e-rc-1,0,2020-02-19 00:10,10
bryancenter-046-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-248-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-6,0,2020-02-19 00:10,10
bryancenter-100-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-002ha-ap3602i-rc-1,0,2020-02-19 00:10,10
bryancenter-311-ap3502i-rc-2,0,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-1,0,2020-02-19 00:10,10
bryancenter-128-ap3702e-rw-1,0,2020-02-19 00:10,10
bryancenter-128-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-117-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-110-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-griflc-ap3802p-rw-1,0,2020-02-19 00:10,10
bryancenter-107-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-306-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-002d-ap3502e-rw-1,0,2020-02-19 00:10,10
bryancenter-305-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-113-ap3502i-rc-1,0,2020-02-19 00:10,10
bryancenter-griflr-ap3802i-rc-1,0,2020-02-19 00:10,10
bryancenter-216-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-043-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-202-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-0012mr-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-postoff-ap3602e-rc-1,0,2020-02-19 00:10,10
bryancenter-0058-ap3502e-rw-1,0,2020-02-19 00:10,10
bryancenter-251-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-042-ap3702i-rc-1,0,2020-02-19 00:10,10
bryancenter-022-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-ctrlbth-ap3502e-rw-1,0,2020-02-19 00:10,10
bryancenter-loop-ap3602i-rc-3,0,2020-02-19 00:10,10
bryancenter-035p-ap3502i-hc-1,0,2020-02-19 00:10,10
bryancenter-grifrf-ap3802p-rw-1,0,2020-02-19 00:10,10
bryancenter-002g-ap3602i-rc-1,0,2020-02-19 00:10,10
bryancenter-roof-ap1562d-rw-8,15,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-10,10,2020-02-19 00:15,15
bryancenter-208-ap3502i-hc-1,6,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-3,6,2020-02-19 00:15,15
bryanctr-mcdonalds-ap3502i-rc-1,5,2020-02-19 00:15,15
bryancenter-0037-ap3502i-hc-1,4,2020-02-19 00:15,15
7791-bryancenter-roof-11,3,2020-02-19 00:15,15
bryancenter-251-ap3502i-hc-1,2,2020-02-19 00:15,15
bryancenter-loop-ap3602i-rc-2,2,2020-02-19 00:15,15
bryancenter-tkoff-ap3502i-hc-1,2,2020-02-19 00:15,15
bryancenter-001b-ap3502i-rc-1,2,2020-02-19 00:15,15
bryancenter-somewhr-ap3502i-rc-1,2,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-4,2,2020-02-19 00:15,15
bryancenter-200-ap3502i-hc-1,2,2020-02-19 00:15,15
bryancenter-245-ap3502i-hc-1,1,2020-02-19 00:15,15
bryancenter-beyu-ap3602i-rc-1,1,2020-02-19 00:15,15
bryancenter-0037-ap3502i-rc-1,1,2020-02-19 00:15,15
bryancenter-104t-ap3502i-hc-1,1,2020-02-19 00:15,15
bryancenter-002j-ap3602i-rc-1,1,2020-02-19 00:15,15
bryancenter-131-ap3502i-rc-1,1,2020-02-19 00:15,15
bryancenter-304-ap3502i-rc-1,1,2020-02-19 00:15,15
bryancenter-aubon-ap3502i-rc-1,1,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-1,1,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-5,1,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-2,1,2020-02-19 00:15,15
bryancenter-0038b-ap3502i-hc-1,1,2020-02-19 00:15,15
bryancenter-305-ap3502i-rc-4,1,2020-02-19 00:15,15
bryancenter-roof-ap1562d-rw-7,1,2020-02-19 00:15,15
bryancenter-loop-ap3602i-rc-1,1,2020-02-19 00:15,15
bryancenter-127-ap3502e-hw-1,0,2020-02-19 00:15,15
bryancenter-bsmtlob-ap6502i-rc-1,0,2020-02-19 00:15,15
bryancenter-techstr-ap3702i-rd-1,0,2020-02-19 00:15,15
bryancenter-303-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-306-ap3502i-rc-2,0,2020-02-19 00:15,15
bryancenter-003tc-ap3502i-rc-1,0,2020-02-19 00:15,15
bryanctr-pg4-ap3502e-ow-1,0,2020-02-19 00:15,15
bryancenter-202-ap3502i-rc-2,0,2020-02-19 00:15,15
bryancenter-305-ap3502i-rc-3,0,2020-02-19 00:15,15
bryancenter-310-ap3602i-rc-3,0,2020-02-19 00:15,15
bryancenter-246-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-grifstg-ap3502e-rw-1,0,2020-02-19 00:15,15
bryancenter-019-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-243-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-griflf-ap3802p-rc-1,0,2020-02-19 00:15,15
bryancenter-0000-ap3602i-??-1,0,2020-02-19 00:15,15
bryancenter-305-ap3502i-rc-2,0,2020-02-19 00:15,15
bryancenter-roof-11,0,2020-02-19 00:15,15
bryancenter-techstr-ap3502i-rd-1,0,2020-02-19 00:15,15
bryancenter-202-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-333-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-202-ap3502i-rc-3,0,2020-02-19 00:15,15
bryancenter-0017tc-ap3602e-rc-1,0,2020-02-19 00:15,15
bryancenter-0050t-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-panda-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-0045-ap3702i-hc-1,0,2020-02-19 00:15,15
bryancenter-0024mr-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-grifrc-ap3802p-rw-1,0,2020-02-19 00:15,15
bryancenter-311-ap3502i-rc-3,0,2020-02-19 00:15,15
bryancenter-0020mr-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-0059-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-241-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-grifrr-ap3802i-rc-1,0,2020-02-19 00:15,15
bryancenter-219-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-0066-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-340-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-339-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-210-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-119-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-222-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-204-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-310-ap3602i-rc-1,0,2020-02-19 00:15,15
bryancenter-0029-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-311-ap3502i-rc-1,0,2020-02-19 00:15,15
bryancenter-310-ap3602i-rc-2,0,2020-02-19 00:15,15
bryancenter-024-ap3702i-hc-1,0,2020-02-19 00:15,15
bryancenter-reynlds-ap3502e-rc-1,0,2020-02-19 00:15,15
bryancenter-300-ap3502i-hc-1,0,2020-02-19 00:15,15
bryancenter-046-ap3502i-hc-1,0,2020-02-19 00:15,15
